Type,max,min,Period
RRC,13.63,13.99,0.332475
RRAB,15.07,16.28,0.485529
RRAB,14.89,15.85,0.483849
RRAB,12.87,13.98,0.60686
RRAB,14.1,14.43,0.710245
RRAB,14.95,15.8,0.681754
RRAB,14.34,15.06,0.42741
RRAB,14.68,15.15,0.54064
RRC,14.11,14.23,0.337106
RRAB,14.72,15.45,0.53047
RRAB,15.5,16.4,0.53061
RRAB,12.895,14.167,0.4075102
RRAB,14.26,14.83,0.5546
RRAB,15.5,16.36,0.64402
RRAB,13.3,14.5,0.44144
RRAB,15.24,15.77,0.565855
RRAB,13.58,13.89,0.513436
RRAB,15.92,17.06,0.429472
RRAB,16.18,17.29,0.585
RRAB,16.1,17.28,0.438708
RRC,15.25,15.67,0.389413
RRAB,14.16,15.11,0.538964
RRAB,14.95,15.48,0.520608
RRAB,12.445,12.945,0.7308412
RRAB,12.33,13.07,0.4958174
RRC,15.13,15.41,0.237995
RRAB,14.35,15.42,0.4974
RRAB,14.04,14.44,0.634012
RRAB,17.5,18.3,0.581861
RRAB,15.8,16.7,0.44406
RRAB,12.491,13.641,0.6314882
RRAB,12.605,13.451,0.6515149
RRAB,15.11,16.18,0.500294
RRAB,15.26,15.96,0.541902
RRAB,14.8,16.1,0.392082
RRAB,18.5,19.7,0.551713
RRAB,12.761,13.941,0.4321071
RRAB,14.2,14.53,0.829147
RRAB,17.1,18.3,0.537851
RRC,14.41,14.53,0.318499
RRAB,15.17,16.24,0.586595
RRAB,15.26,16.06,0.483154
RRAB,14.72,15.29,0.540488
RRAB,16.0,17.0,0.508898
RRAB,15.36,16.07,0.548873
RRC,14.25,14.45,0.224335
RRC,13.59,13.69,0.187403
RRAB,14.81,15.63,0.517464
RRAB,14.9,15.81,0.595998
RRAB,14.82,15.75,0.520289
RRAB,14.6,15.15,0.542629
RRAB,12.71,13.14,0.635665
RRAB,14.4,15.5,0.53802
RRAB,14.35,14.82,0.523439
RRAB,15.05,15.75,0.640498
RRAB,14.7,16.1,0.44956767
RRAB,14.95,16.15,0.49535
RRC,13.81,13.98,0.274897
RRAB,13.82,14.88,0.697363
RRAB,15.21,16.29,0.588976
RRAB,15.58,16.29,0.656118
RRC,11.9,12.4,0.350432
RRAB,14.53,14.8,0.838997
RRAB,12.9,14.2,0.498136
RRAB,11.406,12.387,0.5485176
RRAB,12.764,13.604,0.5799246
RRAB,18.6,20.1,0.50238
RRC,14.27,14.64,0.294384
RRAB,14.98,15.25,0.498963
RRAB,15.4,16.28,0.523585
RRC,14.46,14.55,0.351563
RRAB,14.57,15.35,0.532219
RRC,17.03,17.55,0.33261
RRC,11.33,11.4,0.230504
RRAB,14.75,15.6,0.811664
RRAB,14.26,14.71,0.558801
RRAB,14.0,14.82,0.545506
RRAB,14.8,15.08,0.76811
RRAB,11.868,12.388,0.5165693
RRAB,14.1,14.9,0.6235924
RRC,14.39,14.51,0.243772
RRAB,15.07,15.67,0.535769
RRAB,14.88,15.64,0.692883
RRAB,10.03,10.96,0.5517588
RRAB,14.1,14.53,0.60079
RRAB,14.07,14.5,0.573358
RRAB,14.87,15.5,0.50773
RRAB,14.59,14.91,0.5506
RRC,15.49,15.92,0.381964
RRAB,16.1,17.1,0.547077
RRAB,15.94,16.95,0.614668
RRC,13.13,13.25,0.362187
RRAB,14.95,15.9,0.74786
RRC,16.3,16.8,0.34509
RRC,16.65,17.1,0.386116
RRC,14.47,15.11,0.36386
RRAB,15.52,16.58,0.488547
RRAB,14.26,14.79,0.596737
RRAB,17.4,18.5,0.520389
RRAB,14.11,14.44,0.516373
